province,城市,现存确诊,累计确诊,死亡,治愈
重庆,万州,13,298,4,281
重庆,黔江,34,58,0,24
重庆,涪陵,61,93,0,32
重庆,渝中,185,379,1,193
重庆,大渡口,48,122,0,74
重庆,江北,142,301,0,159
重庆,沙坪坝,107,652,0,545
重庆,九龙坡,429,774,1,344
重庆,南岸,301,555,0,254
重庆,渝北,336,1202,0,866
重庆,巴南,146,395,0,249
重庆,长寿,22,99,0,77
重庆,江津,45,129,0,84
重庆,合川,28,121,0,93
重庆,永川,33,225,0,192
重庆,綦江,81,114,0,33
重庆,大足,0,150,0,150
重庆,璧山,8,51,0,43
重庆,铜梁,27,81,0,54
重庆,潼南,33,70,0,37
重庆,荣昌,22,94,0,72
重庆,开州,53,189,1,135
重庆,梁平,47,181,0,134
重庆,武隆,64,97,0,33
重庆,城口,42,63,0,21
重庆,丰都,33,44,0,11
重庆,垫江,19,270,0,251
重庆,忠县,15,42,0,27
重庆,云阳,33,142,0,109
重庆,奉节,89,140,0,51
重庆,巫山,10,69,0,59
重庆,巫溪,14,52,0,38
重庆,石柱,10,26,0,16
重庆,秀山,25,154,0,129
重庆,酉阳,13,30,0,17
重庆,彭水,37,78,0,41
重庆,万盛,65,75,0,10
重庆,北碚,117,298,0,181
重庆,南川,12,35,0,23
